#ops,ops/sec,mb/sec,us/op,ms/op
1293,129.285,0.0,0,0.0
3783,378.263,0.0,0,0.0
13565,1356.309,0.0,0,0.0
16,1.600,0.0,0,0.0
5199,519.807,0.0,0,0.0
15566,1556.356,0.0,0,0.0
0,0.000,0.0,0,0.0
5187,518.628,0.0,0,0.0
13401,1339.964,0.0,0,0.0
2824,282.348,0.0,0,0.0
7353,735.174,0.0,0,0.0
15597,1559.482,0.0,0,0.0
0,0.000,0.0,0,0.0
5152,515.117,0.0,0,0.0
15573,1557.062,0.0,0,0.0
5217,521.609,0.0,0,0.0
0,0.000,0.0,0,0.0
15788,1578.554,0.0,0,0.0
5288,528.709,0.0,0,0.0
6747,674.593,0.0,0,0.0
5582,558.096,0.0,0,0.0
3303,330.243,0.0,0,0.0
10404,1040.228,0.0,0,0.0
10416,1041.416,0.0,0,0.0
5189,518.806,0.0,0,0.0
5213,521.200,0.0,0,0.0
5150,514.930,0.0,0,0.0
0,0.000,0.0,0,0.0
15628,1562.630,0.0,0,0.0
5189,518.805,0.0,0,0.0
5203,520.208,0.0,0,0.0
5212,521.106,0.0,0,0.0
4805,480.408,0.0,0,0.0
15635,1563.267,0.0,0,0.0
5206,520.506,0.0,0,0.0
5206,520.510,0.0,0,0.0
5251,525.015,0.0,0,0.0
5164,516.309,0.0,0,0.0
321,32.094,0.0,0,0.0
15325,1532.271,0.0,0,0.0
10435,1043.324,0.0,0,0.0
5171,517.014,0.0,0,0.0
5250,524.909,0.0,0,0.0
0,0.000,0.0,0,0.0
10775,1077.371,0.0,0,0.0
10043,1004.138,0.0,0,0.0
0,0.000,0.0,0,0.0
5290,528.908,0.0,0,0.0
15906,1590.373,0.0,0,0.0
5236,523.507,0.0,0,0.0
7686,768.478,0.0,0,0.0
2707,270.652,0.0,0,0.0
3616,361.539,0.0,0,0.0
12025,1202.390,0.0,0,0.0
5180,517.960,0.0,0,0.0
5190,518.949,0.0,0,0.0
7288,728.731,0.0,0,0.0
12792,1278.987,0.0,0,0.0
0,0.000,0.0,0,0.0
5170,516.906,0.0,0,0.0
10503,1050.119,0.0,0,0.0
11255,1125.312,0.0,0,0.0
5222,522.112,0.0,0,0.0
5191,519.010,0.0,0,0.0
3818,381.728,0.0,0,0.0
1369,136.876,0.0,0,0.0
15531,1552.870,0.0,0,0.0
5189,518.811,0.0,0,0.0
8887,888.607,0.0,0,0.0
1501,150.084,0.0,0,0.0
4757,475.656,0.0,0,0.0
12749,1274.714,0.0,0,0.0
8475,847.358,0.0,0,0.0
5211,521.009,0.0,0,0.0
1151,115.079,0.0,0,0.0
4053,405.224,0.0,0,0.0
15613,1561.040,0.0,0,0.0
5218,521.707,0.0,0,0.0
5222,522.111,0.0,0,0.0
5269,526.802,0.0,0,0.0
5204,520.312,0.0,0,0.0
15555,1555.289,0.0,0,0.0
5201,520.050,0.0,0,0.0
5203,520.254,0.0,0,0.0
5169,516.847,0.0,0,0.0
5162,516.145,0.0,0,0.0
7733,773.235,0.0,0,0.0
13100,1309.791,0.0,0,0.0
5219,521.808,0.0,0,0.0
5214,521.328,0.0,0,0.0
5163,516.253,0.0,0,0.0
1388,138.788,0.0,0,0.0
14141,1413.968,0.0,0,0.0
10357,1035.540,0.0,0,0.0
5161,516.010,0.0,0,0.0
3867,386.630,0.0,0,0.0
2309,230.856,0.0,0,0.0
14577,1457.479,0.0,0,0.0
5562,556.114,0.0,0,0.0
10044,1004.229,0.0,0,0.0
2279,227.862,0.0,0,0.0
2938,293.747,0.0,0,0.0
15669,1566.729,0.0,0,0.0
5182,518.148,0.0,0,0.0
5214,521.348,0.0,0,0.0
5393,539.247,0.0,0,0.0
8564,856.317,0.0,0,0.0
10965,1096.380,0.0,0,0.0
4630,462.913,0.0,0,0.0
5216,521.501,0.0,0,0.0
6352,635.080,0.0,0,0.0
12216,1221.408,0.0,0,0.0
4104,410.328,0.0,0,0.0
15552,1555.050,0.0,0,0.0
5185,518.448,0.0,0,0.0
0,0.000,0.0,0,0.0
8311,830.956,0.0,0,0.0
